threshold,precision,recall,f1
0.05,0.22116666666666668,1.0,0.362221918929985
0.1,0.22692967409948542,0.9969856819894499,0.36970797820315776
0.15,0.24485946047915488,0.9781461944235117,0.3916716958358479
0.2,0.2651290732120186,0.9442351168048229,0.4140095820254419
0.25,0.2909179213210296,0.9027882441597589,0.4400367309458218
0.3,0.3216863990759457,0.8394875659382065,0.4651356993736952
0.35,0.3643243243243243,0.7618688771665411,0.49293027791321303
0.39999999999999997,0.40195208518189884,0.6827430293896006,0.5060039095224798
0.44999999999999996,0.4501590668080594,0.6397889977392615,0.5284780578898226
0.49999999999999994,0.4880441446965052,0.5998492840994725,0.5382014874915483
0.5499999999999999,0.5253878702397743,0.5614167294649586,0.5428051001821493
0.6,0.564867042707494,0.5282592313489073,0.5459501557632398
0.65,0.5874060150375939,0.47098718914845517,0.5227938101212881
0.7,0.6307692307692307,0.40165787490580257,0.4907918968692449
0.75,0.6590584878744651,0.34815373021853807,0.4556213017751479
0.7999999999999999,0.6936619718309859,0.29691032403918616,0.4158311345646438
0.85,0.7507418397626113,0.19065561416729465,0.3040865384615385
0.9,0.8208955223880597,0.0828937452901281,0.1505817932922656
0.95,0.8823529411764706,0.011303692539562924,0.022321428571428575
