kmeans_cluster,LIMIT_BAL,AGE,mean_pay_status,max_pay_status,n_months_late,mean_utilisation,payment_to_bill,total_bill_6m,total_paid_6m,default,size,default_rate
0,115238.02,35.02,0.43,1.05,1.38,0.63,0.08,422463.55,26424.96,0.29,15964,0.2908
1,226907.24,36.01,-0.88,-0.26,0.22,0.08,0.69,96298.23,37595.74,0.14,14036,0.142
